feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,0610005C13Rik,4.8597,-0.0294,0.6885,-0.0426,0.966,1
0610007P14Rik,0610007P14Rik,1191.9579,0.0073,0.0973,0.0752,0.94,1
0610009B22Rik,0610009B22Rik,850.0865,0.0966,0.0837,1.155,0.2481,1
0610009L18Rik,0610009L18Rik,29.7083,0.3396,0.2636,1.2879,0.1978,1
0610009O20Rik,0610009O20Rik,1232.0302,-0.062,0.0747,-0.8299,0.4066,1
0610010F05Rik,0610010F05Rik,823.9726,0.2663,0.2095,1.2714,0.2036,1
0610010K14Rik,0610010K14Rik,942.7391,-0.1374,0.1075,-1.2783,0.2011,1
0610011F06Rik,0610011F06Rik,372.0261,-0.0374,0.1005,-0.3723,0.7097,1
0610012G03Rik,0610012G03Rik,357.5939,-0.0443,0.1241,-0.3572,0.7209,1
0610030E20Rik,0610030E20Rik,933.1613,0.1757,0.1145,1.5344,0.1249,1
0610037L13Rik,0610037L13Rik,1050.1113,0.0245,0.0947,0.2582,0.7962,1
0610038B21Rik,0610038B21Rik,7.4502,-0.2512,0.5554,-0.4523,0.651,1
0610039K10Rik,0610039K10Rik,1.6677,-0.1546,1.1855,-0.1304,0.8963,1
0610040B10Rik,0610040B10Rik,20.2454,-0.1645,0.3564,-0.4614,0.6445,1
0610040F04Rik,0610040F04Rik,0.5223,-1.3526,2.0042,-0.6749,0.4998,1
0610040J01Rik,0610040J01Rik,0.745,-0.362,1.855,-0.1952,0.8453,1
0610043K17Rik,0610043K17Rik,1.4625,0.3471,1.2671,0.2739,0.7842,1
1010001N08Rik,1010001N08Rik,1.5673,-0.5242,1.1715,-0.4474,0.6546,1
1110001J03Rik,1110001J03Rik,131.2122,-0.1254,0.1873,-0.6694,0.5032,1
1110002L01Rik,1110002L01Rik,69.5317,0.0026,0.2036,0.0126,0.99,1
1110004E09Rik,1110004E09Rik,625.032,0.0783,0.1306,0.6,0.5485,1
1110004F10Rik,1110004F10Rik,2844.5658,-0.0014,0.095,-0.0146,0.9883,1
1110006O24Rik,1110006O24Rik,8.5519,0.4753,0.4806,0.989,0.3227,1
1110007C09Rik,1110007C09Rik,1208.1634,0.0389,0.1528,0.2549,0.7988,1
1110008F13Rik,1110008F13Rik,1152.3167,0.0425,0.1164,0.3653,0.7149,1
1110008L16Rik,1110008L16Rik,603.9265,-0.0377,0.0792,-0.4758,0.6342,1
1110008P14Rik,1110008P14Rik,696.4636,0.0083,0.0952,0.0877,0.9301,1
1110012L19Rik,1110012L19Rik,813.0601,0.0143,0.1518,0.0942,0.925,1
1110017D15Rik,1110017D15Rik,3.5859,0.8668,0.7647,1.1336,0.257,1
1110019D14Rik,1110019D14Rik,95.9892,-0.1371,0.2074,-0.6611,0.5085,1
1110020A21Rik,1110020A21Rik,11.9063,0.1371,0.4588,0.2988,0.7651,1
1110032A03Rik,1110032A03Rik,270.3648,-0.0627,0.1188,-0.5279,0.5976,1
1110034G24Rik,1110034G24Rik,134.4206,-0.0114,0.1462,-0.078,0.9379,1
1110037F02Rik,1110037F02Rik,3123.9153,0.0671,0.1001,0.6708,0.5023,1
